year,county,sector,gwh,population,gwh_per_capita
2022,Orange,Residential,7248.213107202,3165015,0.0022901038722413637
2022,Orange,Streetlighting,145.323624254,3165015,4.5915619437506615e-05
2022,Orange,"Transportation, Communications, & Utilities",997.1895280217,3165015,0.00031506628816030884
2023,Orange,Agriculture and Water Pumping,306.786345046568,3160022,9.708361050858759e-05
2023,Orange,Commercial,8241.79581733454,3160022,0.0026081450753616714
2023,Orange,Industrial,2088.47760781423,3160022,0.0006609060341397085
2023,Orange,Mining,221.372172690665,3160022,7.005399731098865e-05
2023,Orange,Residential,6863.68740363259,3160022,0.0021720378540505698
2023,Orange,Streetlighting,142.864255626841,3160022,4.520989272443071e-05
2023,Orange,"Transportation, Communications, & Utilities",988.278985067205,3160022,0.00031274433692778244
2024,Orange,Agriculture and Water Pumping,316.356491112485,3173633,9.96827582497677e-05
2024,Orange,Commercial,8199.93549659131,3173633,0.002583769294241429
2024,Orange,Industrial,2055.09949277405,3173633,0.0006475542360361295
2024,Orange,Mining,219.549701361051,3173633,6.917929746793376e-05
2024,Orange,Residential,7136.35656666811,3173633,0.002248639513979124
2024,Orange,Streetlighting,132.45196363832,3173633,4.173512300833776e-05
2024,Orange,"Transportation, Communications, & Utilities",1165.39542706801,3173633,0.00036721178128284207
2015,San Luis Obispo,Agriculture and Water Pumping,210.971319267598,279800,0.0007540075742230093
2015,San Luis Obispo,Commercial,604.652524989616,279800,0.0021610168870250753
2015,San Luis Obispo,Industrial,112.986579074952,279800,0.00040381193379182274
2015,San Luis Obispo,Mining,34.9016249795532,279800,0.00012473775904057612
2015,San Luis Obispo,Residential,624.041608173694,279800,0.0022303131099846107
2015,San Luis Obispo,Streetlighting,6.08007352908652,279800,2.173006979659228e-05
2015,San Luis Obispo,"Transportation, Communications, & Utilities",92.6328880285071,279800,0.000331068220259139
2016,San Luis Obispo,Agriculture and Water Pumping,247.348827414585,281681,0.0008781168322129821
2016,San Luis Obispo,Commercial,598.144244856804,281681,0.002123480976199332
2016,San Luis Obispo,Industrial,105.179727865517,281681,0.00037340015075747743
2016,San Luis Obispo,Mining,33.3804663937855,281681,0.00011850450116900144
2016,San Luis Obispo,Residential,619.272242238534,281681,0.002198487800875934
2016,San Luis Obispo,Streetlighting,4.72035004993616,281681,1.6757786467444235e-05
